Time and date,GPU temperature,GPU usage,Memory usage,Power percent,RAM usage,Framerate
15-01-2025 20:02:34,73,98,4777.359,76,17660,221.1
15-01-2025 20:02:35,73,98,4777.234,74,17660,237.7
15-01-2025 20:02:36,74,98,4777.359,80,17684,223.9
15-01-2025 20:02:37,74,96,4778.594,79,17683,221.9
15-01-2025 20:02:38,73,98,4778.594,79,17684,230.4
15-01-2025 20:02:39,73,98,4778.594,76,17685,225.7
15-01-2025 20:02:40,73,98,4778.469,77,17695,233.7
15-01-2025 20:02:41,73,98,4778.469,78,17688,243.2
15-01-2025 20:02:42,73,98,4778.594,77,17689,246.4
15-01-2025 20:02:43,73,98,4778.594,77,17690,247.5
15-01-2025 20:02:44,73,98,4778.594,77,17692,245.5
15-01-2025 20:02:45,74,98,4778.469,78,17710,241.1
15-01-2025 20:02:46,74,98,4778.469,78,17720,243
15-01-2025 20:02:47,74,98,4778.594,78,17720,245.9
15-01-2025 20:02:48,74,98,4778.594,78,17717,238.9
15-01-2025 20:02:49,74,98,4778.594,79,17690,242.6
15-01-2025 20:02:50,74,98,4778.594,78,17689,242.4
15-01-2025 20:02:51,74,98,4778.594,80,17687,241.9
15-01-2025 20:02:52,74,98,4778.594,79,17688,233.2
15-01-2025 20:02:53,74,98,4778.594,77,17685,237.5
15-01-2025 20:02:54,74,98,4779.219,78,17686,234.9
15-01-2025 20:02:55,74,98,4779.219,79,17678,241.6
15-01-2025 20:02:56,74,98,4781.23,79,17682,207.6
15-01-2025 20:02:57,74,98,4781.105,79,17678,211.3
15-01-2025 20:02:58,74,99,4781.23,77,17672,213.9
15-01-2025 20:02:59,74,98,4781.23,78,17671,219.1
15-01-2025 20:03:00,74,98,4781.23,77,17670,220.8
15-01-2025 20:03:01,74,98,4781.23,80,17668,214
15-01-2025 20:03:02,74,99,4780.418,80,17667,217.1
15-01-2025 20:03:03,74,98,4780.418,80,17667,217.9
15-01-2025 20:03:04,74,98,4789.23,80,17673,215.4
15-01-2025 20:03:05,74,98,4789.355,78,17672,215.3
15-01-2025 20:03:06,74,98,4789.578,78,17654,215.3
15-01-2025 20:03:07,74,98,4789.578,78,17654,210.3
15-01-2025 20:03:08,73,98,4789.578,64,17655,209.1
15-01-2025 20:03:09,74,98,4789.578,79,17656,215.3
15-01-2025 20:03:10,74,98,4789.766,78,17648,214.6
15-01-2025 20:03:11,74,98,4790.063,80,17645,214.2
15-01-2025 20:03:12,74,99,4790.961,77,17643,203.2
15-01-2025 20:03:13,74,98,4791.328,78,17706,214.8
15-01-2025 20:03:14,74,98,4791.328,77,17707,224.4
15-01-2025 20:03:15,74,98,4791.328,79,17707,220.5
15-01-2025 20:03:16,74,98,4791.078,79,17705,226.4
15-01-2025 20:03:17,74,98,4791.078,79,17689,227.2
15-01-2025 20:03:18,74,98,4791.078,77,17688,219.8
15-01-2025 20:03:19,74,98,4791.359,79,17690,210.7
15-01-2025 20:03:20,74,98,4791.359,77,17684,217
15-01-2025 20:03:21,74,98,4791.234,78,17560,225.5
15-01-2025 20:03:22,74,98,4791.359,73,17241,227.9
15-01-2025 20:03:23,74,98,4791.359,77,17257,239.5
15-01-2025 20:03:24,74,98,4791.484,78,17254,240.4
15-01-2025 20:03:25,75,98,4791.484,79,17250,235.2
15-01-2025 20:03:26,74,96,4791.609,78,17250,232
15-01-2025 20:03:27,74,98,4791.609,78,17252,231.1
15-01-2025 20:03:28,75,98,4792.086,80,17248,231.4
15-01-2025 20:03:29,75,93,4792.215,82,17245,226.9
15-01-2025 20:03:30,75,98,4792.34,80,17246,211.1
15-01-2025 20:03:31,75,98,4792.34,80,17240,210.1
15-01-2025 20:03:32,75,99,4792.34,80,17248,215.2
15-01-2025 20:03:33,75,98,4792.34,80,17250,211.9
15-01-2025 20:03:34,75,98,4792.215,79,17244,212
15-01-2025 20:03:35,75,99,4792.215,79,17242,207
15-01-2025 20:03:36,75,99,4795.098,79,17267,205.7
15-01-2025 20:03:37,75,99,4795.098,79,17268,209
15-01-2025 20:03:38,75,98,4795.098,79,17278,218.2
15-01-2025 20:03:39,75,98,4795.098,79,17268,229.2
15-01-2025 20:03:40,75,98,4795.098,79,17271,231.6
15-01-2025 20:03:41,75,98,4795.223,79,17271,234.4
15-01-2025 20:03:42,75,98,4795.223,79,17268,226.8
15-01-2025 20:03:43,75,98,4795.223,77,17271,225
15-01-2025 20:03:44,75,98,4795.223,79,17266,230.8
15-01-2025 20:03:45,75,98,4795.223,79,17273,235.7
15-01-2025 20:03:46,75,98,4794.973,79,17265,225.5
15-01-2025 20:03:47,75,98,4794.973,77,17269,228.1
15-01-2025 20:03:48,75,97,4795.441,78,17271,234.7
15-01-2025 20:03:49,75,98,4796.113,80,17275,216.2
15-01-2025 20:03:50,75,98,4796.113,78,17269,222.8
15-01-2025 20:03:51,75,98,4796.113,76,17276,221.3
15-01-2025 20:03:52,75,98,4796.738,77,17272,230.8
15-01-2025 20:03:53,75,98,4796.738,79,17277,238.9
15-01-2025 20:03:54,75,98,4796.738,78,17274,236.3
15-01-2025 20:03:55,75,98,4796.738,78,17274,240.8
15-01-2025 20:03:56,75,98,4796.738,78,17275,240.8
15-01-2025 20:03:57,75,97,4796.738,81,17275,240.2
15-01-2025 20:03:58,75,98,4798.367,79,17274,216.1
15-01-2025 20:03:59,75,99,4798.367,80,17274,197.4
15-01-2025 20:04:00,75,98,4798.449,79,17278,190.3
15-01-2025 20:04:01,75,99,4798.527,80,17270,184.5
15-01-2025 20:04:02,75,98,4798.402,80,17269,182.9
15-01-2025 20:04:03,75,99,4798.527,78,17265,193.8
15-01-2025 20:04:04,75,98,4798.527,79,17262,193.6
15-01-2025 20:04:05,75,98,4798.715,79,17257,202
15-01-2025 20:04:06,75,94,4798.652,78,17246,207.4
15-01-2025 20:04:07,75,98,4798.777,79,17245,209.7
15-01-2025 20:04:08,75,98,4798.777,80,17249,215.1
15-01-2025 20:04:09,75,78,4798.902,80,17249,215.1
15-01-2025 20:04:10,75,98,4799.027,79,17252,214.7
15-01-2025 20:04:11,75,98,4799.027,79,17248,207.7
15-01-2025 20:04:12,75,97,4798.902,73,17251,200.6
15-01-2025 20:04:13,75,98,4799.027,81,17253,206.8
15-01-2025 20:04:14,75,98,4799.027,78,17247,215.9
15-01-2025 20:04:15,75,98,4799.027,78,17248,213.1
15-01-2025 20:04:16,75,98,4799.027,80,17253,210.4
15-01-2025 20:04:17,75,94,4798.902,79,17252,211
15-01-2025 20:04:18,75,98,4798.902,77,17262,210.5
15-01-2025 20:04:19,75,99,4798.902,79,17259,209.2
15-01-2025 20:04:20,75,92,4798.902,78,17269,203.5
15-01-2025 20:04:21,75,95,4798.902,79,17268,203.3
15-01-2025 20:04:22,75,97,4799.027,79,17265,218.5
15-01-2025 20:04:23,75,98,4799.027,80,17264,222.4
15-01-2025 20:04:24,75,97,4798.902,77,17270,218.9
15-01-2025 20:04:25,75,98,4799.027,81,17267,219.9
15-01-2025 20:04:26,75,98,4799.027,84,17266,225.3
15-01-2025 20:04:27,76,98,4799.027,82,17268,221.8
15-01-2025 20:04:28,76,98,4799.027,81,17267,221.2
15-01-2025 20:04:29,75,98,4798.902,79,17265,216.8
15-01-2025 20:04:30,76,99,4799.027,79,17265,211.5
15-01-2025 20:04:31,75,92,4799.027,76,17265,192.1
15-01-2025 20:04:32,76,97,4798.902,80,17267,201.9
